Kinetic_E(MeV),N_beta(/fission/MeV)-12h,N_beta(/fission/MeV)-450d,N_nu_bar_e(/fission/MeV)-12h,N_nu_bar_e(/fission/MeV)-450d
2.00,1.13,1.15,1.43,1.48
2.25,9.81e-1,9.97e-1,1.26,1.30
2.50,8.47e-1,8.55e-1,1.12,1.15
2.75,7.24e-1,7.27e-1,9.80e-1,1.00
3.00,6.11e-1,6.11e-1,8.70e-1,8.76e-1
3.25,5.07e-1,5.06e-1,7.57e-1,7.59e-1
3.50,4.16e-1,4.15e-1,6.40e-1,6.42e-1
3.75,3.37e-1,3.36e-1,5.39e-1,5.39e-1
4.00,2.68e-1,2.67e-1,4.50e-1,4.51e-1
4.25,2.11e-1,2.10e-1,3.67e-1,3.67e-1
4.50,1.64e-1,1.63e-1,2.94e-1,2.93e-1
4.75,1.27e-1,1.27e-1,2.32e-1,2.32e-1
5.00,9.72e-2,9.69e-2,1.83e-1,1.83e-1
5.25,7.37e-2,7.33e-2,1.43e-1,1.43e-1
5.50,5.55e-2,5.52e-2,1.10e-1,1.10e-1
5.75,4.17e-2,4.14e-2,8.35e-2,8.35e-2
6.00,3.12e-2,3.10e-2,6.21e-2,6.21e-2
6.25,2.31e-2,2.30e-2,4.70e-2,4.70e-2
6.50,1.68e-2,1.66e-2,3.58e-2,3.58e-2
6.75,1.17e-2,1.16e-2,2.71e-2,2.71e-2
7.00,7.92e-3,7.85e-3,1.95e-2,1.95e-2
7.25,5.28e-3,5.23e-3,1.32e-2,1.33e-2
7.50,3.48e-3,3.44e-3,8.65e-3,8.65e-3
7.75,2.22e-3,2.19e-3,6.01e-3,6.01e-3
8.00,1.40e-3,1.38e-3,3.84e-3,3.84e-3
